product_code,x,y,cluster_name,target,name
902,2.0454968512077443,1.411461544273239,Agriculture,601," Tea, whether or not flavoured."
902,2.0454968512077443,1.411461544273239,Agriculture,2714," Tea, whether or not flavoured."
6002,1.779595249345813,-1.608071359157497,Textile and Home Goods,5807," Knitted or crocheted fabrics of a width not exceeding 30 cm, containing by weight 5 % or more of elastomeric yarn or rubber thread, other than those ..."
6002,1.779595249345813,-1.608071359157497,Textile and Home Goods,6001," Knitted or crocheted fabrics of a width not exceeding 30 cm, containing by weight 5 % or more of elastomeric yarn or rubber thread, other than those ..."
6002,1.779595249345813,-1.608071359157497,Textile and Home Goods,5804," Knitted or crocheted fabrics of a width not exceeding 30 cm, containing by weight 5 % or more of elastomeric yarn or rubber thread, other than those ..."
6002,1.779595249345813,-1.608071359157497,Textile and Home Goods,9606," Knitted or crocheted fabrics of a width not exceeding 30 cm, containing by weight 5 % or more of elastomeric yarn or rubber thread, other than those ..."
6002,1.779595249345813,-1.608071359157497,Textile and Home Goods,5209," Knitted or crocheted fabrics of a width not exceeding 30 cm, containing by weight 5 % or more of elastomeric yarn or rubber thread, other than those ..."
6810,0.6685154953590442,-0.1559439051217186,"Construction, Building, and Home Supplies",7610," Articles of cement, of concrete or of artificial stone, whether or not reinforced."
6810,0.6685154953590442,-0.1559439051217186,"Construction, Building, and Home Supplies",9403," Articles of cement, of concrete or of artificial stone, whether or not reinforced."
6810,0.6685154953590442,-0.1559439051217186,"Construction, Building, and Home Supplies",3925," Articles of cement, of concrete or of artificial stone, whether or not reinforced."
6810,0.6685154953590442,-0.1559439051217186,"Construction, Building, and Home Supplies",7308," Articles of cement, of concrete or of artificial stone, whether or not reinforced."
6810,0.6685154953590442,-0.1559439051217186,"Construction, Building, and Home Supplies",4415," Articles of cement, of concrete or of artificial stone, whether or not reinforced."
1209,1.8357244825973569,1.2961641642296655,Agriculture,602," Seeds, fruit and spores, of a kind used for sowing."
1209,1.8357244825973569,1.2961641642296655,Agriculture,504," Seeds, fruit and spores, of a kind used for sowing."
1209,1.8357244825973569,1.2961641642296655,Agriculture,701," Seeds, fruit and spores, of a kind used for sowing."
1209,1.8357244825973569,1.2961641642296655,Agriculture,703," Seeds, fruit and spores, of a kind used for sowing."
1209,1.8357244825973569,1.2961641642296655,Agriculture,409," Seeds, fruit and spores, of a kind used for sowing."
7907,-0.2815755860156286,-0.9440861664695844,Metalworking and Electrical Machinery and Parts,3924, Other articles of zinc.
7907,-0.2815755860156286,-0.9440861664695844,Metalworking and Electrical Machinery and Parts,8307, Other articles of zinc.
7907,-0.2815755860156286,-0.9440861664695844,Metalworking and Electrical Machinery and Parts,9608, Other articles of zinc.
7907,-0.2815755860156286,-0.9440861664695844,Metalworking and Electrical Machinery and Parts,4005, Other articles of zinc.
7907,-0.2815755860156286,-0.9440861664695844,Metalworking and Electrical Machinery and Parts,8201, Other articles of zinc.
